index,value
10,musk purchased domain x.com paypal undisclosed explaining sentimental value
11,musk involved nonprofit mar society inspired plan place growth-chamber plant mar discussed funding project october musk traveled moscow jim cantrell griffin buy refurbished intercontinental ballistic missile icbm send greenhouse payload space met company lavochkin kosmotras musk seen novice spat russian chief designer group returned united state empty-handed february group returned russia look icbm meeting kosmotras offered rocket musk rejected musk instead decided start company build affordable rocket early fortune musk founded space exploration technology corp. traded spacex remains company ceo hold title chief engineer
12,spacex attempted launch falcon rocket rocket failed reach earth orbit awarded commercial orbital transportation service program contract nasa later year failed attempt reportedly caused musk stress waking nightmare screaming physical pain spacex succeeded launching falcon orbit making private liquid-fuel rocket later year spacex received commercial resupply service program contract nasa flight falcon rocket dragon spacecraft international space station replacing space shuttle retirement dragon vehicle berthed i private enterprise
13,working goal reusable rocket spacex successfully landed stage falcon landing later achieved autonomous spaceport drone ship ocean-based recovery platform spacex launched falcon heavy inaugural mission carried musk personal tesla roadster dummy payload spacex unveiled next-generation launch vehicle spacecraft system big falcon rocket later renamed starship support spacex launch service provider capability spacex announced planned lunar circumnavigation mission private flight called dearmoon project spacex launched crewed flight demo-2 private company place person orbit dock crewed spacecraft i
14,spacex began development starlink constellation low earth orbit satellite provide satellite internet access prototype satellite launched february second set test satellite large deployment piece constellation occurred operational satellite launched total cost decade-long project design build deploy constellation estimated spacex note
15,company attracted criticism astronomer starlink satellite blocking view sky expert arguing risk colliding causing danger space musk rejected criticism stating impact satellite space extremely enormous satellite tiny
16,tesla inc.—originally tesla motors—was incorporated july martin eberhard marc tarpenning financed company series round funding men played active role company early development prior musk involvement musk led series round investment february invested majority shareholder joined tesla board director chairman musk took active role company oversaw roadster product design deeply involved day-to-day business operation following series escalating conflict financial crisis eberhard ousted firm musk assumed leadership company ceo product architect lawsuit settlement eberhard designated musk tesla co-founder tarpenning elon musk longest tenured ceo automotive manufacturer globally musk nominally changed title technoking retaining position ceo
17,tesla built electric sport car roadster sale vehicle serial production all-electric car use lithium-ion battery cell tesla began delivery four-door model s sedan cross-over model x launched mass market sedan model released march update world best-selling electric car unit delivered fifth vehicle model y crossover launched cybertruck all-electric pickup truck unveiled musk tesla constructed multiple lithium-ion battery electric vehicle subassembly factory gigafactory nevada gigafactory china
18,initial public offering tesla stock risen significantly valuable carmaker summer entered s p later year october reached market capitalization sixth company u.s history november musk proposed twitter selling tesla stock lately unrealized gain mean tax avoidance twitter account supported sale musk sold tesla stock week ending november total year end reaching target february wall street journal reported elon kimbal musk investigation sec possible insider trading related sale
19,september musk sued sec tweet claiming funding secured potentially taking tesla private note lawsuit characterized tweet false misleading damaging investor sought bar musk serving ceo publicly traded company day later musk settled sec admitting denying sec allegation result musk tesla fined musk forced step year tesla chairman able remain ceo
20,musk stated interview regret posting tweet triggered sec investigation february musk stated tweet tesla build car sec reacted musk tweet filing court initially asking court hold contempt violating term settlement agreement tweet disputed musk eventually settled joint agreement musk sec clarifying previous agreement detail agreement included list topic musk need preclearance tweeting judge prevented lawsuit proceeding claimed tweet musk tesla stock price high imo violated agreement foia released record showing sec concluded musk subsequently violated agreement twice tweeting tesla solar roof production volume stock price
21,musk provided initial concept financial capital solarcity cousin lyndon peter rive co-founded solarcity second largest provider solar power system united state musk promoted idea solarcity building advanced production facility buffalo new york triple size largest solar plant united state construction factory started completed operated joint venture panasonic early panasonic departed
22,tesla acquired solarcity merged battery energy storage product division create tesla energy announcement deal resulted drop tesla stock price time solarcity facing liquidity issue tesla shareholder informed consequently multiple shareholder group filed lawsuit musk tesla director claiming purchase solarcity solely benefit musk came expense tesla shareholder june court deposition musk acknowledged company reallocated possible employee solar division work model according musk result solar suffered previously disclosed shareholder court document unsealed confirmed musk aware company liquidity issue tesla director settled lawsuit january leaving musk sole remaining defendant
23,musk co-founded neuralink neurotechnology startup company integrate human brain artificial intelligence ai creating device embedded human brain facilitate merging machine device reconcile latest improvement artificial intelligence stay updated improvement enhance memory allow device communicate software effectively
24,live demonstration august musk described early device fitbit skull soon cure paralysis deafness blindness disability neuroscientist publication criticized claim mit technology review described highly speculative neuroscience theater
25,musk founded boring company construct tunnel early company began discussion regulatory body initiated construction m wide m long m deep test trench premise spacex office required permit tunnel la vega convention center completed early local official approved expansion tunnel system
26,merchandising publicity stunt boring company sold novelty flamethrower idea fascination idea flamethrower general inspired mel brooks-directed film spaceballs confirmed documentary film return space directed elizabeth chai vasarhelyi jimmy chin
27,musk managerial style treatment employee heavily criticized business insider reported tesla employee told walk musk desk wild firing rampage wall street journal reported musk insisted branding vehicle self-driving faced criticism engineer resigned response stating musk reckless decision making ha d potentially customer life risk book power play contains multiple anecdote musk berating employee
28,musk announced plan version vactrain vacuum tube train assigning dozen engineer tesla spacex establish conceptual foundation create initial design august musk unveiled concept dubbed hyperloop alpha design system published posted tesla spacex blog document scoped technology outlined notional route transport system built greater los angeles area san francisco bay area estimated total cost proposal technologically feasible cost cited hyperloop travel cheaper mode transport long distance
29,june musk announced design competition student build hyperloop pod operate spacex-sponsored mile-long track hyperloop pod competition track january musk announced company started tunnel project hawthorne airport destination july musk claimed received verbal government approval build hyperloop new york city washington d.c. stopping philadelphia baltimore mention project dc baltimore removed boring company website later
30,december musk announced creation not-for-profit artificial intelligence ai research company aiming develop artificial general intelligence intended safe beneficial humanity particular focus company counteract large corporation government gain power owning super-intelligence system musk left openai board possible future conflict role ceo tesla company increasingly involved ai tesla autopilot
31,july musk arranged employee build small rescue pod assist rescue child stuck flooded cavern thailand richard stanton leader international rescue diving team urged musk construction mini-submarine back-up case flooding worsened named wild boar child soccer team design five-foot m cm sealed tube weighing pound kg propelled manually diver segmented compartment place diver weight adjust buoyancy intended solve problem safely extracting child engineer spacex boring company built mini-submarine falcon liquid oxygen transfer tube hour personally delivered thailand time child rescued face mask oxygen anesthesia consequently thai authority declined use submarine elon musk later people received honor conferred king thailand march involvement rescue effort e.g order direkgunabhorn
32,vernon unsworth british recreational caver exploring cave previous year played key advisory role rescue criticized submarine cnn amounting public relation effort chance success musk conception cave passage stick submarine hurt musk asserted twitter device worked referred unsworth pedo guy subsequently deleted tweet earlier tweet told critic device stay tuned jackass july unsworth stated considering legal action
33,day later musk issued apology remark august response criticism writer twitter musk tweeted think strange sued following day letter dated august l. lin wood rescuer attorney emerged showing making preparation libel lawsuit
34,time james howard-higgins emailed musk claiming private investigator offer dig deep unsworth musk accepted higgins later revealed convicted felon multiple count fraud august detail produced alleged investigation musk sent buzzfeed news reporter written controversy email prefaced off record telling reporter stop defending child rapist fucking asshole claiming unsworth single white guy england traveling living thailand year moving chiang rai child year old time september reporter tweeted screenshot email saying off record two-party agreement agree
35,september unsworth filed defamation suit los angeles federal court defense musk argued slang usage guy common insult south growing synonymous old man insult person appearance demeanor defamation case began december unsworth seeking damage trial musk apologized unsworth tweet december jury found favor musk ruled liable
36,september musk appeared joe rogan experience podcast discussed topic hour interview musk sampled single puff cigar consisting joe rogan claimed tobacco laced cannabis tesla stock dropped incident coincided confirmation departure tesla vice president worldwide finance earlier day fortune wondered cannabis use ramification spacex contract united state air force air force spokesperson told verge investigation air force processing situation minute interview musk said incident smoke pot anybody watched podcast tell idea smoke pot
37,march musk released rap track rip harambe soundcloud emo g record track allusion killing harambe gorilla cincinnati zoo subsequent tasteless internet sensationalism surrounding event performed yung jake written yung jake caroline polachek produced bloodpop january musk released edm track doubt ur vibe featuring lyric vocal guardian critic alexi petridis described indistinguishable umpteen competent unthrilling bit bedroom electronica posted soundcloud techcrunch said bad representation genre
38,musk president musk foundation state purpose solar-power energy system disaster area support research development advocacy educational goal foundation contribution half scientific research education nonprofit notable beneficiary include wikimedia foundation alma mater university pennsylvania kimbal big green vox described foundation entertaining simplicity strikingly opaque noting website word plain-text foundation criticized relatively small wealth donated gave directly non-profits nearly went musk openai time non-profit organization musk took giving pledge committing majority wealth charitable cause lifetime forbes gave musk philanthropy score given away le net worth
39,musk endowed prize x prize foundation including encourage innovation addressing illiteracy reward improved carbon capture technology november musk donated tesla share charity
40,donated dollar museum dedicated nikola tesla
41,russian invasion ukraine musk facilitated sending starlink system purchased european nation private funding ukraine internet access communication besieged country ukrainian president volodymyr zelenskyy thanked musk personally support ukraine announced talk space project place war
42,musk active user social medium platform twitter follower january musk began steadily buying significant quantity share company reaching stake company march musk reached total share april twitter overall share valued time making largest shareholder company musk neglected notify sec day stake company surpassed violation security law musk publicly disclosed investment security exchange commission filing april twitter share experienced largest intraday surge ipo flurry trading activity resulted share price increasing revelation musk acquired significant stake twitter followed musk tweet march questioned twitter commitment freedom speech said considering developing rival social medium site comment acquired company
43,april musk agreed deal appointed twitter board director prohibit acquiring company musk decided join board appointment effective april april musk offer buy launching takeover bid buy twitter stock share letter twitter board indicated desire company private twitter thrive serve free speech societal imperative current form twitter need transformed private company response twitter board adopted shareholder right plan significantly expensive single investor company approval board
44,musk paypal sold ebay listed forbes billionaire list net worth
45,start musk net worth year end net worth increased largely driven ownership tesla stock musk net worth volatile example dropped september largest single-day plunge history bloomberg billionaire index november year musk passed facebook co-founder mark third-richest person world week later passed microsoft co-founder bill gate second-richest january musk net worth surpassed amazon founder jeff bezos richest person world bezos reclaimed spot following month september forbes announced musk net worth richest person world tesla stock surged november musk person net worth
46,three-quarters musk wealth derives tesla musk receive salary tesla agreed compensation plan board tie personal earnings tesla valuation revenue deal stipulated musk receives compensation tesla reach certain market value largest deal ceo board award given eligible purchase tsla share company below-market price worth
47,musk paid tax income according propublica musk paid federal income tax tax bill estimated based sale worth tesla stock
48,musk repeatedly described cash poor professed little interest material trapping wealth musk signed giving pledge pledged sell physical possession musk defended wealth saying accumulating resource help life multiplanetary extend light consciousness star early musk clarification needed private pilot favorite aircraft l-39 albatros decided stop piloting us private jet owned spacex acquired second jet august jet heavy use fossil fuels—it flew mile received criticism
49,musk stated significant top-tier donor democrat give heavily republican musk said political contribution requirement voice united state government musk criticized donald trump stance climate change joining trump business advisory council musk resigned june protest trump decision withdraw united state paris agreement democratic presidential primary musk endorsed candidate andrew yang expressed support proposed universal basic income endorsed kanye west independent campaign general election musk stated think theoretical government mar direct democracy september following adoption texas strict abortion restriction texas governor greg abbott stated musk spacex supported texas social policy response musk stated general believe government rarely impose people aspire maximize cumulative happiness said prefer stay politics democratic proposal increased tax billionaire musk response included critical policy remark lashing proponent senator ron wyden
50,july musk tweeted pronoun suck significant backlash twitter including partner grime tweet perceived transphobic attack non-binary identity series december tweet musk mocked use pronoun human right campaign previously given tesla number ranking corporate equality index criticized tweet called apology
51,musk stated believe u.s. government provide subsidy company instead use carbon tax discourage poor behavior musk say free market achieve best solution producing environmentally unfriendly vehicle come consequence stance called hypocritical business received billion dollar subsidy addition tesla large sum government-initiated system emission credit offered california united state federal level enabled improved initial consumer adoption tesla vehicle tax credit given government enabled tesla battery electric vehicle price-competitive relative comparison existing lower-priced internal combustion engine vehicle notably tesla generates sizeable portion revenue sale carbon credit granted company european union emission trading system chinese national carbon trading scheme
52,musk longtime opponent short-selling repeatedly criticized practice argued illegal musk opposition short-selling speculated stem short-sellers organize publish opposition research company believe currently overvalued early encouraged gamestop short squeeze musk regularly promoted cryptocurrencies stating support traditional government-issued fiat currency given volatile effect tweet statement cryptocurrencies viewed market manipulation critic nouriel roubini
53,november musk criticized mocking u.s senator bernie sander twitter sander posted message twitter saying demand extremely wealthy pay fair share period musk replied forgetting alive
54,musk voiced concern human population decline saying mar human population need lot people multiplanet civilization speaking wall street journal ceo council session december musk stated declining birth rate population biggest risk human civilization
55,december interview christian conservative satirical website babylon bee musk lamented increasingly difficult thing california musk sold reach goal selling share tesla world valuable car company partially pay tax relocated personal tesla tax residence california texas order avoid state income tax musk said california land opportunity land sort overregulation overlitigation overtaxation interview stated heart wokeness divisive exclusionary hateful basically give mean people shield mean cruel armored false virtue
56,musk condemned russian invasion ukraine announced measure support ukraine defense providing country free starlink access ukrainian president zelenskyy personally thanked musk announcing talk government asked starlink block access russian news source response invasion ukraine musk identified free speech absolutist said gunpoint
57,based current trend probably close new case end april
58,march
59,musk criticized public comment conduct related covid-19 pandemic spread misinformation including promoting chloroquine assuming death statistic manipulated start pandemic claimed child essentially immune sars-cov-2 coronavirus twitter determined given overall context conclusion tweet break rule covid-19 commentary decision described irresponsible verge
60,musk called coronavirus panic dumb musk repeatedly criticized lockdown violated local order re-opening tesla fremont factory march commenting new york time report china reported new case domestic spread novel coronavirus musk predicted probably close new case end april politico later labeled statement audacious confident spectacularly incorrect prognostication november phrase space karen trended twitter connection musk tweeted misinformation effectiveness covid-19 testing
61,march musk offered donate ventilator tesla build buy third party multiple hospital noted device eventually donated bipap cpap machine expensive sought-after invasive mechanical ventilator imv machine device free ventilator sickest patient invasive ventilator cost cpap machine purchased
62,finding antibody-testing program spacex worked doctor academic researcher create published nature communication musk listed co-author
63,musk frequently spoken potential danger artificial intelligence ai repeatedly calling greatest threat humanity musk opinion ai provoked controversy criticized expert yann lecun consequently according cnbc musk looked favorably ai research community mark zuckerberg clashed musk issue zuckerberg calling warning pretty irresponsible musk claim human live computer simulation criticized
64,december prompted opinion virtual reality vr driven musk said unable compelling metaverse situation remarked think far disappearing metaverse sound kind buzzword-y sure tv nose sure make metaverse strapping frigging screen face day wanting leave way
65,company dealing area transportation musk criticized public transportation stance called elitist public mode transportation provide service person car rent drive december response audience question public transit urban sprawl tesla event sideline neural information processing system conference long beach california musk remarked
66,premise good thing painful think public transport painful suck want lot people leave want leave start want start end want end time
67,pain as bunch random stranger serial killer ok great people individualized transport go want want
68,audience member responded public transportation work japan musk shot cram people subway sound great
69,comment sparked widespread criticism transportation urban planning expert pointed public transportation dense urban area economical energy efficient requires le space private car
70,musk met wife canadian author justine wilson attending queen university married contracted malaria vacation south africa nearly died child son nevada alexander musk died sudden infant death syndrome sids age week death couple decided use ivf continue family twin xavier griffin born april followed triplet kai saxon damian couple divorced share custody son
71,musk began dating english actress talulah riley september couple married dornoch cathedral scotland announced divorce riley musk riley remarried december filed second divorce riley action second divorce finalized musk dated amber heard month reportedly pursuing musk later accused johnny depp having affair heard married depp musk heard denied affair
72,musk canadian musician grime revealed dating grime gave birth son according musk grime x æ a-12 violated california regulation contained character modern english alphabet changed x æ a-xii drew confusion æ letter modern english alphabet child eventually named x a-xii musk x ae a-xii middle musk surname musk confirmed report couple semi-separated september interview time december said single march grime said relationship musk probably refer boyfriend fluid revealed daughter exa dark sideræl musk nicknamed y born december surrogate later month grime tweeted musk broken best friend love life
73,early late musk resided california tesla spacex founded headquarters located moved texas stating california complacent economic success hosting saturday night live musk stated syndrome
74,musk multiple cameo appearance film iron man men black international television series appeared include simpson musk fell earth big bang theory platonic permutation south park member rick morty crew crewcoo morty saturday night live contributed interview documentary racing extinction herzog-directed lo behold
75,china elon musk trademark phenomenon according scmp different company having registered trademark english chinese transliteration multitude product including printing restaurant textile design
76,musk elected fellow royal society fr received honorary doctorate engineering technology yale ieee honorary membership award contribution development falcon rocket include american institute aeronautics astronautics george low transportation award fédération internationale gold space medal royal aeronautical society gold medal listed time magazine influential people musk selected time person year time editor-in-chief edward felsenthal wrote person year marker influence individual influence musk life earth potentially life earth musk elected member national academy engineering f breakthrough design engineering manufacturing operation reusable launch vehicle sustainable transportation energy system
