index,value
0,elon reeve musk fr born june entrepreneur investor business magnate founder ceo chief engineer spacex early-stage investor ceo product architect tesla inc. founder boring company co-founder neuralink estimated net worth april musk wealthiest person world according bloomberg billionaire index forbes real-time billionaire list
1,musk born canadian mother white south african father raised pretoria south africa briefly attended university pretoria moving canada age avoid conscription enrolled queen university transferred university pennsylvania year later received bachelor degree economics physic moved california attend stanford university decided instead pursue business career co-founding web software company zip2 brother kimbal startup acquired year musk co-founded online bank x.com merged confinity form paypal company bought ebay
2,musk founded spacex aerospace manufacturer space transport service company ceo chief engineer joined electric vehicle manufacturer tesla motor inc. tesla inc. chairman product architect ceo helped create solarcity solar energy service company later acquired tesla tesla energy co-founded openai nonprofit research company promotes friendly artificial intelligence co-founded neuralink neurotechnology company focused developing brain–computer interface founded boring company tunnel construction company musk proposed hyperloop high-speed vactrain transportation system
3,musk criticized unscientific stance controversial statement sued u.s. security exchange commission sec falsely tweeting secured funding private takeover tesla settled sec temporarily stepping chairmanship agreeing limitation twitter usage won defamation trial brought british caver advised tham luang cave rescue musk criticized spreading misinformation covid-19 pandemic view matter artificial intelligence cryptocurrency public transport
4,elon reeve musk born june pretoria south mother maye musk née haldeman model dietitian born saskatchewan canada raised south father errol musk white south african electromechanical engineer pilot sailor consultant property half-owner zambian emerald lake tanganyika musk younger brother kimbal born younger sister tosca born maternal grandfather joshua haldeman adventurous american-born canadian took family record-breaking journey single-engine bellanca airplane africa australia musk british pennsylvania dutch ancestry musk child adenoid removed doctor suspected deaf mother later decided thinking world family wealthy elon youth errol musk said money time close safe parent divorced musk lived father pretoria choice year divorce subsequently regretted musk estranged father describes terrible human evil thing possibly think half-sister half-brother father elon attended anglican sunday school youth
5,age musk developed interest computing video game acquired commodore vic-20 learned computer programming manual age sold code basic-based video game created called blastar pc office technology magazine approximately awkward introverted child musk bullied childhood hospitalized group boy threw flight stair attended waterkloof house preparatory school bryanston high school graduating pretoria boy high school
6,aware easier enter united state canada musk applied canadian passport canadian-born mother awaiting documentation attended university pretoria month allowed avoid mandatory service south african military musk arrived canada june lived second cousin saskatchewan year working odd job farm lumber-mill entered queen university kingston ontario year later transferred university pennsylvania graduated bachelor art degree physic bachelor science degree economics
7,musk held internship silicon valley summer energy storage startup pinnacle research institute researched electrolytic ultracapacitors energy storage palo alto-based startup rocket science game accepted doctor philosophy ph.d. program material science stanford university california musk attempted job netscape never received response inquiry dropped stanford day deciding instead join internet boom launch internet startup
8,musk brother kimbal greg kouri founded web software company zip2 fund angel investor housed venture small rented office palo alto company developed marketed internet city guide newspaper publishing industry map direction yellow page musk say company successful afford apartment instead rented office slept couch showered ymca shared computer brother kimbal agree business decision settled difference wrestling according musk website day coding night day week time musk brother obtained contract new york time chicago tribune persuaded board director abandon plan merger citysearch musk attempt ceo position held chairman rich sorkin thwarted board compaq acquired cash february musk received share
9,musk co-founded x.com online financial service e-mail payment company startup federally insured online bank initial month operation customer joined service company investor regarded musk inexperienced replaced intuit ceo bill end year following year x.com merged online bank confinity avoid competition founded max levchin peter thiel confinity money-transfer service paypal popular x.com service merged company musk returned ceo musk preference microsoft software linux created rift company caused thiel resign resulting technological issue lack cohesive business model board ousted musk replaced thiel september note thiel company focused paypal service renamed paypal paypal acquired ebay stock musk—the largest shareholder shares—received
